序号,Zn百分比,Al百分比,Mn百分比,Ca百分比,Si百分比,均匀化温度/K,均匀化时长/h,extusion温度/K,extrusion ratio,extrusion speed/(mm/s),rolling温度/K,rolling reduction/%,rolling speed/(mm/s),annealing温度/K,annealing时长/h,grain size/μm,texture strength,LD和ED/RD之间的角度/度,YS/Mpa,UTS/Mpa,Elongation/%,来源(DOI)
1,1,3,0,0,0,633,4,0,0,0,573,,,0,0,26,14,90,120,232,12,10.1016/j.actamat.2014.08.023
2,1,3,0,0,0,633,4,0,0,0,573,,,673,96,43,14,90,106,238,21,10.1016/j.actamat.2014.08.023
3,1,3,0,0,0,633,4,0,0,0,573,,,723,96,63,12,90,94,226,21.5,10.1016/j.actamat.2014.08.023
4,1,3,0,0,0,633,4,0,0,0,573,,,773,96,78,12,90,85,200,19.8,10.1016/j.actamat.2014.08.023
5,1,3,0.15,0,0,691,72,0,0,0,473,86,,0,0,5,,0,187,276,10,10.2320/matertrans.43.2554
6,1,3,0.15,0,0,691,72,0,0,0,473,86,,673,0.5,19,,0,127,240,39,10.2320/matertrans.43.2554
7,1,3,0.15,0,0,691,72,0,0,0,523,86,,0,0,6,,0,181,291,14,10.2320/matertrans.43.2554
8,1,3,0.15,0,0,691,72,0,0,0,523,86,,673,0.5,,,0,131,252,26,10.2320/matertrans.43.2554
9,1,3,0.15,0,0,691,72,0,0,0,573,86,,0,0,7.6,,0,162,276,5,10.2320/matertrans.43.2554
10,1,3,0.15,0,0,691,72,0,0,0,573,86,,673,0.5,,,0,141,250,34,10.2320/matertrans.43.2554
11,1,3,0.15,0,0,691,72,0,0,0,623,86,,0,0,10.7,,0,145,252,11,10.2320/matertrans.43.2554
12,1,3,0.15,0,0,691,72,0,0,0,623,86,,673,0.5,,,0,123,283,34,10.2320/matertrans.43.2554
13,1,3,0.15,0,0,691,72,0,0,0,673,86,,0,0,17.3,7,0,137,269,4,10.2320/matertrans.43.2554
14,1,3,0.15,0,0,691,72,0,0,0,673,86,,673,0.5,17.8,,0,136,243,27,10.2320/matertrans.43.2554
15,1.01,3.02,0.3,0,0,0,0,573,166,,0,0,0,0,0,2.5,,0,280,323,21,10.1016/j.scriptamat.2006.06.005
16,1.01,3.02,0.3,0,0,0,0,573,166,,0,0,0,423,1,2.6,,0,272,318,20,10.1016/j.scriptamat.2006.06.005
17,1.01,3.02,0.3,0,0,0,0,573,166,,0,0,0,473,1,2.7,,0,265,317,21,10.1016/j.scriptamat.2006.06.005
